Name,Studio,UPC,Price,Category,ESRB,Platform,Released_on,Dimensions,Weight,Cover_image
 Trainz: Railroad Simulator 2006,2K Games,5031366017239,19.99,PC,Everyone,Windows XP,3/6/2006,Unknown,0.6000 lbs.,https://secure.coverart.bookstores.com/large/765/3-7765.jpg
 Titan Quest,THQ,5031366017352,19.99,PC,Teen,Windows XP,6/26/2006,5.4000 x 1.3000,0.4500 lbs.,https://secure.coverart.bookstores.com/large/746/3-11746.jpg
 Mahjong Quest Expeditions (Nintendo DS) by Avanquest Software,Avanquest Software,5016488118118,29.99,Nintendo DS,Unknown,Nintendo DS,2/24/2043,4.8000 x 0.7900,0.1400 lbs.,https://secure.coverart.bookstores.com/large/528/3-63528.jpg
 Pokemon - Diamond Version,Nintendo,0065030830294,34.99,Nintendo DS,Everyone,Nintendo DS,4/22/2007,4.8000 x 0.7900,0.0600 lbs.,https://secure.coverart.bookstores.com/large/143/3-143.jpg
 Planet Rescue: Animal Emergency (Nintendo DS),UBI Soft,3307211608221,1.0,Nintendo DS,Everyone,Nintendo DS,1/17/2044,4.8000 x 0.7900,0.2200 lbs.,https://secure.coverart.bookstores.com/large/425/3-72425.jpg
 The Legend of Zelda: Ocarina of Time 3D,Nintendo,0045496741556,39.99,Nintendo DS,Everyone 10+,Nintendo 3DS,6/19/2011,4.8000 x 0.5000,0.1000 lbs.,https://secure.coverart.bookstores.com/large/751/3-56751.jpg
 Mario & Luigi: Bowsers Inside Story [US Import],NINTENDO,0885144051084,1.0,Nintendo DS,Alle,Nintendo DS,3/5/2041,4.8000 x 0.6000,0.2000 lbs.,https://secure.coverart.bookstores.com/large/987/3-162987.jpg
 Ice Age Continental Drift,Activision,5030917109805,55.16,Nintendo DS,Everyone,Nintendo DS,8/18/2042,4.8000 x 0.8700,0.2200 lbs.,https://secure.coverart.bookstores.com/large/909/3-135909.jpg
 Hot Wheels: Battle Force 5 (Nintendo DS),Activision Inc.,5030917088551,1.0,Nintendo DS,Rating Pending,Nintendo DS,1/17/2044,4.8800 x 0.7900,0.2200 lbs.,https://secure.coverart.bookstores.com/large/369/3-64369.jpg
 Jewel Link: Galactic Quest (Nintendo DS),Unknown,5016488125383,1.0,Nintendo DS,Everyone,Nintendo DS,1/17/2044,Unknown,0.1800 lbs.,https://secure.coverart.bookstores.com/large/841/3-123841.jpg
 Zhu Zhu Pets: Puppies - Game Only (Nintendo DS) by ACTIVISION,Activision,5030917095979,1.0,Nintendo DS,Unknown,Nintendo DS,8/18/2042,4.9000 x 0.8000,0.2500 lbs.,https://secure.coverart.bookstores.com/large/654/3-62654.jpg
 Samurai Warriors: Chronicle (Nintendo 3DS),Tecmo Koei,5060073307784,39.99,Nintendo DS,Unknown,Nintendo 3DS,3/25/2011,4.9000 x 0.6000,0.1500 lbs.,https://secure.coverart.bookstores.com/large/301/3-128301.jpg
 Harvest Moon: Grand Bazaar,"Natsume, Inc.",0719593100294,29.99,Nintendo DS,Everyone,Nintendo DS,8/24/2010,Unknown,0.2000 lbs.,https://secure.coverart.bookstores.com/large/455/3-1455.jpg
 Fantasy Aquarium By DS (Nintendo DS),Mercury Games,4939814300135,19.99,Nintendo DS,Unknown,Nintendo DS,12/1/2007,Unknown,Unknown,https://secure.coverart.bookstores.com/large/441/3-72441.jpg
 Captain Morgane And The Golden Turtle [efigs] /nds,Unknown,5060112430749,11.19,Nintendo DS,Teen,Nintendo DS,1/17/2044,4.8800 x 0.7900,0.1800 lbs.,https://secure.coverart.bookstores.com/large/930/3-68930.jpg
 Neighbours From Hell (Nintendo DS) by JoWood,JoWood Productions,9006113093602,113.08,Nintendo DS,Unknown,Nintendo DS,8/18/2042,4.6500 x 0.7900,0.2600 lbs.,https://secure.coverart.bookstores.com/large/001/3-136001.jpg
 Pokemon Platinum,Nintendo,0045496740184,34.99,Nintendo DS,Everyone,Nintendo DS,3/22/2009,4.3300 x 0.7900,0.6500 lbs.,https://secure.coverart.bookstores.com/large/547/3-56547.jpg
 Chicken Attack (Nintendo DS) by Intenium,Intenium,4047296004400,33.0,Nintendo DS,Unknown,Nintendo DS,8/18/2042,4.8000 x 0.7900,0.1800 lbs.,https://secure.coverart.bookstores.com/large/459/3-122459.jpg
 DS Lite Mini Folio - Cobalt Blue,POWER A,0617885947940,9.99,Nintendo DS,Unknown,Nintendo DS,1/17/2009,Unknown,0.4000 lbs.,https://secure.coverart.bookstores.com/large/868/3-30868.jpg
 Marvel Super Hero Squad: The Infinity Gauntlet 2 (Nintendo 3DS),THQ,4005209147941,49.99,Nintendo DS,Suitable for 12 years and over,Nintendo 3DS,11/18/2011,4.8800 x 0.6300,0.1800 lbs.,https://secure.coverart.bookstores.com/large/925/3-83925.jpg
 Plants Vs. Zombies - Nintendo DS,PopCap Games,0899274002243,19.99,Nintendo DS,Everyone 10+,Nintendo DS,1/18/2011,Unknown,0.2000 lbs.,https://secure.coverart.bookstores.com/large/500/3-30500.jpg
 Miss Spider's Harvest Time Hop and Fly  (Nintendo DS),The Game Factory,5743211740208,19.99,Nintendo DS,Unknown,Nintendo DS,7/7/2006,4.8800 x 0.7900,0.2200 lbs.,https://secure.coverart.bookstores.com/large/389/3-69389.jpg
 Bomberman (Nintendo DS),Ubisoft,3307210195135,29.99,Nintendo DS,Unknown,Nintendo DS,7/8/2005,4.9600 x 0.7900,0.1400 lbs.,https://secure.coverart.bookstores.com/large/619/3-128619.jpg
 Puzzle Quest 2 - Nintendo DS,D3 Publisher,0879278320178,19.99,Nintendo DS,Everyone 10+,Nintendo DS,6/15/2010,Unknown,0.2000 lbs.,https://secure.coverart.bookstores.com/large/408/3-1408.jpg
